,time [ns],amplitude [MHZ]
322,161.0,(58.05771410859752-0.7994046168546115j)
323,161.5,(58.25835986615005-0.7069559294085507j)
324,162.0,(58.45744357760865-0.721407630956296j)
325,162.5,(58.66159389175372-0.8374843093493175j)
326,163.0,(58.8737143124069-1.044663780409471j)
327,163.5,(59.09238903880384-1.3307754286461986j)
328,164.0,(59.31479059671239-1.68386296518155j)
329,164.5,(59.53791043433705-2.091204800358946j)
330,165.0,(59.75844971974481-2.5404209332673124j)
331,165.5,(59.97562872966311-3.0202607033325086j)
332,166.0,(60.1924180585758-3.5176898272780988j)
333,166.5,(60.41316511527667-4.017167995281646j)
334,167.0,(60.64383553130768-4.502033183394913j)
335,167.5,(60.89202588117296-4.952370950494104j)
336,168.0,(61.16244042871226-5.345039729686864j)
337,168.5,(61.45543206070986-5.658300460672358j)
338,169.0,(61.7686471435072-5.873148594633888j)
339,169.5,(62.095268029793154-5.974403235487464j)
340,170.0,(62.425190833491385-5.955633486826915j)
341,170.5,(62.75059255882094-5.8191855485533j)
342,171.0,(63.066640829194185-5.572419276367998j)
343,171.5,(63.370945568029825-5.227637274681433j)
344,172.0,(63.66582977983018-4.799703672741454j)
345,172.5,(63.95537172721532-4.301140589759029j)
346,173.0,(64.24016111957084-3.7436170822938375j)
347,173.5,(64.51769041189058-3.140991886706191j)
348,174.0,(64.78258508967306-2.508870614300501j)
349,174.5,(65.02561305810676-1.866931765031702j)
350,175.0,(65.23789468603911-1.2413804004139293j)
351,175.5,(65.41532475568332-0.6613974637236518j)
352,176.0,(65.55831370061954-0.15521654740630167j)
353,176.5,(65.6719095724481+0.2515873161707342j)
354,177.0,(65.76599454933934+0.5399073515230399j)
355,177.5,(65.85156874030581+0.7002065635842933j)
356,178.0,(65.93716523791609+0.731015163067894j)
357,178.5,(66.02884964184457+0.636960059403678j)
358,179.0,(66.12997105999713+0.42865843594945663j)
359,179.5,(66.23991009277708+0.12071859210817837j)
360,180.0,(66.3559556295159-0.2712958524798261j)
361,180.5,(66.4760962671709-0.7304106832941234j)
362,181.0,(66.59849052343101-1.2376311648115894j)
363,181.5,(66.72216847614766-1.7741516967993987j)
364,182.0,(66.84992626427514-2.320519322037522j)
365,182.5,(66.98677429699232-2.8540852677491495j)
366,183.0,(67.13757033164613-3.3509739413146424j)
367,183.5,(67.30815655118991-3.786781538447829j)
368,184.0,(67.50251804929715-4.134878907807517j)
369,184.5,(67.71845930869937-4.370738066937751j)
370,185.0,(67.94980421046573-4.476758300612065j)
371,185.5,(68.18778607952017-4.442050523877197j)
372,186.0,(68.42032830988545-4.265262540919571j)
373,186.5,(68.63725129603945-3.95690517885002j)
374,187.0,(68.83394004052542-3.534178358888998j)
